`` ``
-- :
, ,
, .
; :
: :
! .
? .
. .
... .
' ''
'' ''
( (
) )
[ (
] )
1,000 CD
100 CD
10 CD
10-year-old JJ
110 CD
112 CD
11 CD
12,000 CD
12312 CD
123 CD
13 CD
146 CD
150 CD
15 CD
1633 CD
16 CD
1797 CD
18,000 CD
1833 CD
18 CD
1903 CD
1917 CD
1920s NN
1936 CD
1945 CD
1946 CD
1952 CD
1954 CD
1960 CD
1963 CD
1973 CD
1974,1980 CD
1974 CD
1975 CD
1976 CD
1979 CD
1985 CD
1990 CD
1991 CD
1995 CD
1 CD
1 LS
200,000 CD
2003 CD
2:00 CD
2010 CD
2050 CD
20 CD
'20s NNS
20-year JJ
21 CD
23 CD
24 CD
25 CD
27 CD
28 CD
2 LS
30 CD
3-1 JJ
35 CD
37650 CD
37 CD
38154 CD
38295-96 CD
3 CD
3 LS
3rd NN
400 CD
40 CD
45% NN
4,600 CD
47-year-old JJ
4 CD
4 LS
4ths NNS
50-50 JJ
50 CD
55 CD
5-7 RB
5 LS
5q NNP
60 CD
'60s NNS
6-1 RB
62nd JJ
70,000 CD
700 CD
'70s NNS
75 CD
76 CD
7-6 RB
77 CD
7 CD
80 CD
80% NN
'80s NNS
8pm NN
9,000 CD
90 CD
95 CD
9 CD
AAAA NNP
AB910 NNP
abbey NN
abdominal JJ
abduction NN
Abernathy NNP
able JJ
abnormality NN
abode NN
Aboriginal JJ
aborted JJ
abound VBP
about IN
about RB
about RP
above IN
above JJ
abrogates VBZ
abruptly RB
absence NN
absolute JJ
absolutely RB
abstract JJ
abstract VBD
absurd JJ
Abydos NNP
Abyssinia NNP
academic JJ
accent NN
accentuated VBN
accept VB
accept VBP
access NN
accidentally RB
accident NN
accommodate VB
accommodation NN
accompanied VBN
Accompaniments NNS
according VBG
accordion NN
accountants NNS
account NN
accounts NNS
a CD
A CD
achieve VB
acknowledges VBZ
acquainted VBN
acquired VBD
acquiring VBG
acquisition NN
acrid JJ
across IN
across RB
Acrow NNP
acting VBG
action NN
actions NNS
active JJ
activities NNS
activity NN
act NN
Act NN
actors NNS
actual JJ
actually RB
Actually RB
act VB
acuity NN
Acumen NNP
Adapt VBP
added VBD
address NN
address VB
adduced VBN
adequate JJ
administration NN
administrators NNS
admissible JJ
admission NN
admit VBP
adopted VBD
adopted VBN
adoration NN
adorning VBG
adorn VB
a DT
A DT
advance NN
advances NNS
advancing VBG
advantage NN
'ad VBD
adventures NNS
adverse JJ
advice NN
adviser NN
advisers NNS
advocates NNS
aesthetic JJ
AET NN
affair NN
affairs NNS
affected VBD
affected VBN
affecting VBG
affect VB
affinities NNS
afraid JJ
Africa NNP
after-glow NN
after IN
After IN
afternoon NN
aftershave NN
afterward RB
again RB
Again RB
against IN
aged VBN
agency NN
age NN
agent NN
age VBP
aggregated VBN
aggregate JJ
aging NN
ago IN
agony NN
ago RB
agreeably RB
agreement NN
agricultural JJ
ahead RB
aid NN
aids NNS
airbag-flattening JJ
Airbag JJ
airbag NN
airbags NNS
aircraft NN
Airlines NNS
air NN
airport NN
airs NNS
aisle NN
Albert NNP
Aldington NNP
Aldridge NNP
alertness NN
Alexander NNP
algorithm NN
algorithms NNS
